project_id,project_name,project_type,client,project_manager,start_date,end_date,status,total_budget,location,progress_percentage,risk_level,created_date,updated_date
PRJ001,โครงการอาคารที่พักอาศัย แห่งที่ 1,สนามกีฬา,สำนักงานอุตสาหกรรมจังหวัด,สมชาย วงศ์ใหญ่,2024-05-20,2025-07-24,วางแผน,332000000,กรุงเทพฯ,0,ต่ำ,2023-04-25,2024-06-24
PRJ002,โครงการลานจอดรถ ปรับปรุง 2,สะพาน,บริษัท ปตท. จำกัด,ราชันย์ สุขศรี,2024-11-04,2025-05-30,กำลังดำเนินการ,116000000,ชลบุรี,74,ต่ำ,2024-07-28,2024-11-16
PRJ003,โครงการโรงพยาบาล แห่งที่ 3,อาคารที่พักอาศัย,สำนักงานอุตสาหกรรมจังหวัด,วิภา สุขสม,2024-06-23,2025-09-30,กำลังดำเนินการ,393000000,ระยอง,64,สูง,2023-06-09,2024-08-17
PRJ004,โครงการอาคารที่พักอาศัย ขยาย 4,สนามกีฬา,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด,ราชันย์ สุขศรี,2024-08-23,2026-08-22,หยุดชั่วคราว,314000000,สมุทรปราการ,22,ต่ำ,2023-05-08,2024-11-27
PRJ005,โครงการโรงเรียน ขยาย 5,ห้างสรรพสินค้า,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด,ประเสริฐ แก้วมี,2024-02-10,2026-12-31,กำลังดำเนินการ,28000000,ระยอง,47,สูง,2023-04-30,2024-04-01
PRJ006,โครงการลานจอดรถ ใหม่ 6,ถนน,บริษัท ปตท. จำกัด,ธนา เจริญสุข,2024-12-15,2027-04-07,หยุดชั่วคราว,112000000,ชลบุรี,64,ปานกลาง,2023-03-15,2024-12-20
PRJ007,โครงการโรงเรียน ขยาย 7,อาคารที่พักอาศัย,บริษัท เซ็นทรัลพัฒนา จำกัด,ราชันย์ สุขศรี,2024-01-29,2025-03-18,หยุดชั่วคราว,355000000,ระยอง,69,ปานกลาง,2023-01-17,2024-07-08
PRJ008,โครงการโรงงาน ใหม่ 8,สะพาน,กระทรวงศึกษาธิการ,พจน์ สมบูรณ์,2024-07-21,2027-07-11,เสร็จสิ้น,340000000,ชลบุรี,100,สูงมาก,2024-04-14,2024-08-26
PRJ009,โครงการห้างสรรพสินค้า แห่งที่ 9,อาคารสำนักงาน,กรมทางหลวง,ประเสริฐ แก้วมี,2024-07-04,2025-08-12,ยกเลิก,464000000,ปทุมธานี,25,สูงมาก,2023-05-22,2024-11-11
PRJ010,โครงการโรงงาน แห่งที่ 10,อาคารที่พักอาศัย,กระทรวงศึกษาธิการ,วิชัย รุ่งเรือง,2024-07-14,2026-09-12,วางแผน,310000000,ระยอง,6,ต่ำ,2024-04-24,2024-11-26
PRJ011,โครงการลานจอดรถ ใหม่ 11,ลานจอดรถ,กรมทางหลวง,วิชัย รุ่งเรือง,2024-03-21,2025-12-25,เสร็จสิ้น,155000000,สงขลา,100,ปานกลาง,2023-01-02,2024-08-02
PRJ012,โครงการอาคารสำนักงาน ขยาย 12,ห้างสรรพสินค้า,บริษัท ไทยคอนสตรัคชั่น จำกัด,วิภา สุขสม,2024-03-23,2026-03-25,หยุดชั่วคราว,83000000,ระยอง,68,สูง,2024-02-03,2024-12-19
PRJ013,โครงการอาคารที่พักอาศัย ใหม่ 13,ถนน,บริษัท ปตท. จำกัด,พจน์ สมบูรณ์,2024-10-17,2025-07-04,วางแผน,127000000,ปทุมธานี,3,สูง,2023-03-29,2024-12-18
PRJ014,โครงการโรงงาน ปรับปรุง 14,โรงพยาบาล,บริษัท ปตท. จำกัด,พจน์ สมบูรณ์,2024-04-18,2026-04-20,ยกเลิก,275000000,ขอนแก่น,27,ต่ำ,2024-01-22,2024-07-29
PRJ015,โครงการสะพาน แห่งที่ 15,อาคารที่พักอาศัย,บริษัท ไทยคอนสตรัคชั่น จำกัด,สุมาลี ทองดี,2024-06-22,2025-01-09,กำลังดำเนินการ,131000000,นนทบุรี,18,ต่ำ,2023-08-24,2024-11-19
PRJ016,โครงการห้างสรรพสินค้า ใหม่ 16,ลานจอดรถ,การรถไฟแห่งประเทศไทย,ราชันย์ สุขศรี,2024-09-20,2025-11-17,หยุดชั่วคราว,445000000,นครราชสีมา,24,สูงมาก,2023-10-13,2024-12-14
PRJ017,โครงการโรงเรียน ขยาย 17,โรงเรียน,สำนักงานอุตสาหกรรมจังหวัด,นิภา สว่างใส,2024-07-27,2025-08-05,เสร็จสิ้น,129000000,กรุงเทพฯ,100,ต่ำ,2023-04-07,2024-08-20
PRJ018,โครงการสะพาน ใหม่ 18,ลานจอดรถ,บริษัท ปตท. จำกัด,ประเสริฐ แก้วมี,2024-06-22,2027-03-18,เสร็จสิ้น,36000000,เชียงใหม่,100,ปานกลาง,2023-04-22,2024-08-24
PRJ019,โครงการห้างสรรพสินค้า แห่งที่ 19,อาคารสำนักงาน,กระทรวงศึกษาธิการ,สมชาย วงศ์ใหญ่,2024-05-07,2027-04-17,เสร็จสิ้น,147000000,นนทบุรี,100,ปานกลาง,2024-04-17,2024-05-26
PRJ020,โครงการโรงเรียน แห่งที่ 20,ถนน,สำนักงานอุตสาหกรรมจังหวัด,สมชาย วงศ์ใหญ่,2024-09-05,2026-07-09,เสร็จสิ้น,90000000,เชียงใหม่,100,สูง,2023-08-07,2024-12-24
PRJ021,โครงการสะพาน ขยาย 21,สะพาน,บริษัท ไทยคอนสตรัคชั่น จำกัด,ราชันย์ สุขศรี,2024-05-26,2026-01-29,เสร็จสิ้น,479000000,สงขลา,100,ต่ำ,2024-05-13,2024-07-04
PRJ022,โครงการลานจอดรถ ใหม่ 22,อาคารสำนักงาน,กระทรวงศึกษาธิการ,วิภา สุขสม,2024-01-26,2026-03-14,หยุดชั่วคราว,387000000,ปทุมธานี,23,ต่ำ,2023-09-02,2024-10-09
PRJ023,โครงการสนามกีฬา ใหม่ 23,สนามกีฬา,บริษัท ซีพี ออลล์ จำกัด,สมชาย วงศ์ใหญ่,2024-04-30,2025-12-14,วางแผน,309000000,นครราชสีมา,10,ต่ำ,2023-03-03,2024-12-27
PRJ024,โครงการโรงพยาบาล ใหม่ 24,โรงงาน,สำนักงานอุตสาหกรรมจังหวัด,ประเสริฐ แก้วมี,2024-09-24,2026-02-09,ยกเลิก,219000000,ชลบุรี,36,สูงมาก,2023-09-25,2024-10-20
PRJ025,โครงการอาคารที่พักอาศัย ใหม่ 25,ลานจอดรถ,กรุงเทพมหานคร,ประเสริฐ แก้วมี,2024-08-22,2026-11-16,วางแผน,166000000,ระยอง,0,ต่ำ,2024-07-30,2024-09-16
PRJ026,โครงการลานจอดรถ ขยาย 26,สนามกีฬา,กระทรวงศึกษาธิการ,สมชาย วงศ์ใหญ่,2024-05-25,2025-05-01,กำลังดำเนินการ,455000000,สงขลา,57,สูง,2023-08-13,2024-12-24
PRJ027,โครงการลานจอดรถ ใหม่ 27,โรงงาน,กรุงเทพมหานคร,ราชันย์ สุขศรี,2024-05-15,2025-03-09,วางแผน,482000000,สมุทรปราการ,2,สูง,2024-03-31,2024-06-11
PRJ028,โครงการโรงเรียน ขยาย 28,อาคารสำนักงาน,บริษัท ไทยคอนสตรัคชั่น จำกัด,อนงค์ มณีแสง,2024-09-07,2025-11-18,หยุดชั่วคราว,109000000,ปทุมธานี,52,สูง,2023-02-22,2024-09-18
PRJ029,โครงการอาคารสำนักงาน แห่งที่ 29,อาคารที่พักอาศัย,การรถไฟแห่งประเทศไทย,พจน์ สมบูรณ์,2024-10-09,2027-03-30,เสร็จสิ้น,87000000,กรุงเทพฯ,100,สูง,2024-03-13,2024-12-19
PRJ030,โครงการโรงพยาบาล แห่งที่ 30,โรงพยาบาล,บริษัท เซ็นทรัลพัฒนา จำกัด,สุมาลี ทองดี,2024-08-08,2025-06-14,ยกเลิก,303000000,นนทบุรี,9,สูง,2023-02-12,2024-10-25
